uid,created_date,survival_time,country,have_services,log_score,label
0,2022-08-16,154.0,US,0,-1785.1978816246228,scam
1,2021-07-12,555.0,US,0,-100652.65205617686,scam
2,2022-11-21,47.0,IT,0,-58.61370563888011,scam
3,2022-08-19,151.0,US,0,-40.74190346197852,scam
4,2022-08-24,147.0,US,0,-3753.386615781621,scam
5,2022-07-05,186.0,-,0,-199833.49873295912,scam
6,2022-09-01,139.0,US,0,-3753.386615781621,scam
7,2022-11-27,48.0,US,0,-5879.034919654398,scam
8,2022-11-07,68.0,US,0,-173.00956741322128,scam
9,2022-11-01,67.0,US,0,-1785.1978816246228,scam
10,2022-10-03,103.0,LT,0,-32.00426772644601,scam
11,2022-11-08,60.0,US,0,-100652.65205617686,scam
12,2021-02-05,708.0,US,0,-199833.49873295912,scam
13,2006-03-29,6139.0,US,0,-5847.048756281419,scam
14,2021-09-28,476.0,US,1,-199833.49873295912,scam
15,2022-09-15,124.0,US,0,-5879.034919654398,scam
16,2022-05-17,245.0,DE,0,-105.92055845832016,scam
17,2022-10-30,76.0,GB,0,-3753.386615781621,scam
18,2022-07-27,175.0,US,0,-199833.49873295912,scam
19,2021-10-05,470.0,US,0,-717.0879769945718,scam
20,2022-06-21,210.0,US,0,-199833.49873295912,scam
21,2022-04-30,259.0,US,0,-5879.034919654398,scam
22,2022-09-05,131.0,US,0,-6607.894054526099,scam
23,2018-11-23,1516.0,-,0,-199833.49873295912,scam
24,2022-07-12,190.0,-,0,-199833.49873295912,scam
25,2022-11-15,64.0,US,0,-3753.386615781621,scam
26,2018-03-14,1760.0,CZ,1,-4270.212508257218,scam
27,2022-11-05,63.0,-,1,-199833.49873295912,scam
28,2022-07-04,194.0,US,0,-357.10962824210384,scam
29,2015-08-27,2701.0,NL,0,-308.9554775622766,scam
30,2022-09-20,120.0,US,0,-309.85833644349736,scam
31,2006-03-29,6135.0,US,0,-5847.048756281419,scam
32,2022-02-23,325.0,LV,0,-300.3232461977317,scam
33,1994-10-26,10300.0,PL,0,-37.30685281944005,scam
34,2021-07-01,555.0,CN,0,-257.7373098110951,scam
35,2020-03-17,1033.0,US,0,-5879.034919654398,scam
36,2022-03-04,320.0,-,0,-199833.49873295912,scam
37,2022-07-20,181.0,-,0,-199833.49873295912,scam
38,2022-05-06,253.0,US,0,-100652.65205617686,scam
39,2022-05-01,262.0,US,0,-5879.034919654398,scam
40,2022-10-24,82.0,TW,0,-4.90138771133189,scam
41,2021-02-19,698.0,US,0,-199833.49873295912,scam
42,2022-06-21,210.0,US,0,-199833.49873295912,scam
43,2020-05-31,958.0,-,0,-199833.49873295912,scam
44,2021-08-18,507.0,DK,0,-470.3905620875659,scam
45,2022-07-20,182.0,US,0,-100652.65205617686,scam
46,2022-10-13,93.0,US,0,-173.00956741322128,scam
47,2022-09-20,116.0,-,0,-199833.49873295912,scam
48,2021-09-11,494.0,MD,0,-2.3068528194400546,scam
49,2021-10-24,451.0,FI,0,-300.3232461977317,scam
50,2021-06-15,571.0,US,0,-5879.034919654398,scam
51,2021-09-13,492.0,US,0,-100652.65205617686,scam
52,2022-06-08,224.0,CA,0,-8736.17105438239,scam
53,2022-10-07,92.0,AU,0,-187.2638015516055,scam
54,2021-12-15,395.0,DE,0,-6936.950143992751,scam
55,2022-09-26,114.0,US,0,-6607.894054526099,scam
56,2022-08-19,151.0,-,0,-199833.49873295912,scam
57,2015-08-03,2721.0,US,0,-199833.49873295912,scam
58,2022-05-16,247.0,CN,0,-257.7373098110951,scam
59,2022-10-23,87.0,US,0,-5879.034919654398,scam
60,2020-12-29,749.0,US,1,-16921.43165549624,scam
61,2016-07-11,2381.0,ME,0,-606.6327041700135,scam
62,2020-11-11,797.0,US,1,-16921.43165549624,scam
63,2021-12-18,396.0,US,0,-300.3232461977317,scam
64,2020-08-19,871.0,US,0,-173.00956741322128,scam
65,2022-09-22,114.0,NL,0,-16551.810345257974,scam
66,2022-09-16,113.0,SG,1,-100652.65205617686,scam
67,2022-03-09,315.0,-,0,-199833.49873295912,scam
68,2022-09-02,134.0,US,0,-5879.034919654398,scam
69,2022-07-27,175.0,US,0,-199833.49873295912,scam
70,2019-08-05,1258.0,US,0,-2625.5342640972003,scam
71,2022-10-17,82.0,CH,0,-45.29194979889779,scam
72,2021-06-17,569.0,US,1,-199833.49873295912,scam
73,2022-09-27,113.0,CN,1,-261.6721238312104,scam
74,2022-08-31,129.0,CA,0,-199833.49873295912,scam
75,2022-09-13,123.0,US,0,-199833.49873295912,scam
76,2022-01-20,362.0,US,0,-357.10962824210384,scam
77,2022-05-17,242.0,US,0,-199833.49873295912,scam
78,2022-10-21,78.0,US,0,-1785.1978816246228,scam
79,2022-11-01,78.0,US,0,-5879.034919654398,scam
80,2022-09-13,123.0,US,0,-14.306852819440056,scam
81,2022-06-01,231.0,US,0,-199833.49873295912,scam
82,2022-10-05,101.0,US,0,-309.85833644349736,scam
83,2022-09-02,138.0,TR,1,-131.17971843439497,scam
84,2021-08-26,510.0,CA,0,-983.7041631339956,scam
85,,,-,0,-199833.49873295912,scam
86,2022-09-20,120.0,US,0,-309.85833644349736,scam
87,2022-10-04,95.0,US,0,-5879.034919654398,scam
88,2022-09-15,125.0,US,0,-199833.49873295912,scam
89,2022-10-02,104.0,US,0,-100652.65205617686,scam
90,2021-04-23,634.0,US,1,-199833.49873295912,scam
91,2019-12-19,1125.0,US,1,-100652.65205617686,scam
92,2021-12-08,395.0,US,0,-3129.087976994572,scam
93,2021-04-28,619.0,DE,0,-8736.17105438239,scam
94,2021-05-09,618.0,US,0,-5879.034919654398,scam
95,2011-10-16,4111.0,US,1,-157.30685281944005,scam
96,2022-05-24,228.0,CA,0,-199833.49873295912,scam
97,2022-10-12,94.0,US,0,-3753.386615781621,scam
98,2022-09-27,109.0,-,1,-199833.49873295912,scam
99,2022-07-05,186.0,-,0,-199833.49873295912,scam
100,2022-03-29,291.0,US,0,-350.4782114229509,scam
101,2022-09-02,138.0,US,0,-33.53426409720027,scam
102,2022-08-04,166.0,US,0,-3.90138771133189,scam
103,2022-07-18,180.0,US,0,-1785.1978816246228,scam
104,2022-08-29,131.0,FR,0,-2270.109628242104,scam
105,2022-08-22,138.0,-,0,-199833.49873295912,scam
106,2019-07-25,1262.0,US,1,-11391.59880261834,scam
107,2022-11-14,61.0,ZA,0,-22.00426772644601,scam
108,2022-10-24,86.0,-,0,-199833.49873295912,scam
109,2022-10-10,100.0,US,0,-199833.49873295912,scam
110,2022-05-31,232.0,US,1,-199833.49873295912,scam
111,2022-03-16,308.0,GB,0,-2.3905620875658995,scam
112,2022-05-07,256.0,US,0,-5879.034919654398,scam
113,2022-07-19,179.0,US,1,-3753.386615781621,scam
114,2022-04-06,283.0,US,0,-173.00956741322128,scam
115,2022-09-27,112.0,-,0,-199833.49873295912,scam
116,2022-01-11,372.0,FR,0,-300.3232461977317,scam
117,2022-10-08,98.0,US,0,-3753.386615781621,scam
118,2022-04-28,254.0,US,0,-100652.65205617686,scam
119,2022-09-22,107.0,-,1,-199833.49873295912,scam
120,2022-03-10,310.0,US,0,-199833.49873295912,scam
121,2022-10-24,82.0,CN,0,-261.6721238312104,scam
122,2022-10-22,77.0,US,0,-1785.1978816246228,scam
123,2021-12-07,396.0,US,0,-199833.49873295912,scam
124,2022-11-02,73.0,US,0,-3753.386615781621,scam
125,2021-06-08,589.0,NL,0,-22.90138771133189,scam
126,2022-06-06,215.0,-,0,-199833.49873295912,scam
127,2022-08-05,162.0,-,1,-199833.49873295912,scam
128,2021-08-20,512.0,IN,0,-18489.60555084533,scam
129,2022-07-21,170.0,-,0,-199833.49873295912,scam
130,2021-09-07,487.0,CA,1,-199833.49873295912,scam
131,2018-11-11,1525.0,US,1,-199833.49873295912,scam
132,2021-12-28,386.0,FR,0,-300.3232461977317,scam
133,2021-09-15,490.0,US,0,-3129.087976994572,scam
134,2020-08-17,883.0,CN,0,-257.7373098110951,scam
135,2022-06-13,215.0,US,0,-199833.49873295912,scam
136,2022-02-16,335.0,US,1,-100652.65205617686,scam
137,2022-10-25,85.0,NO,0,-48.44465193851059,scam
138,2022-01-13,369.0,US,0,-6607.894054526099,scam
139,2022-10-02,104.0,US,0,-13.515093350212,scam
140,2022-06-28,200.0,JP,0,-8434.765893495403,scam
